역명,역주소
까치산,서울특별시 강서구 강서로 지하54 (화곡동)
시청,서울특별시 중구 세종대로 지하 101 (정동)
을지로입구,서울특별시 중구 을지로 지하 42 (을지로1가)
을지로3가,서울특별시 중구 을지로 지하 106 (을지로3가)
을지로4가,서울특별시 중구 을지로 지하 178 (을지로4가)
동대문역사문화공원,서울특별시 중구 을지로 지하 279 (을지로7가)
신당,서울특별시 중구 퇴계로 지하 431-1 (신당동)
상왕십리,서울특별시 성동구 왕십리로 지하 374 (하왕십리동)
왕십리,서울특별시 성동구 왕십리로 지하300 (행당동)
한양대,서울특별시 성동구 왕십리로 206 (행당동)
뚝섬,서울특별시 성동구 아차산로 18 (성수동1가)
성수,서울특별시 성동구 아차산로 100 (성수동2가)
건대입구,서울특별시 광진구 아차산로 243 (화양동)
구의,서울특별시 광진구 아차산로 384-1 (구의동)
강변,서울특별시 광진구 강변역로 53 (구의동)
잠실나루,서울특별시 송파구 오금로 20 (신천동)
잠실,서울특별시 송파구 올림픽로 지하 265 (잠실동)
잠실새내,서울특별시 송파구 올림픽로 지하 140 (잠실동)
종합운동장,서울특별시 송파구 올림픽로 지하 23 (잠실동)
삼성,서울특별시 강남구 테헤란로 지하 538 (삼성동)
선릉,서울특별시 강남구 테헤란로 지하 340 (삼성동)
역삼,서울특별시 강남구 테헤란로 지하 156 (역삼동)
강남,서울특별시 강남구 강남대로 지하 396 (역삼동)
교대,서울특별시 서초구 서초대로 지하 294 (서초동)
서초,서울특별시 서초구 서초대로 지하 233 (서초동)
방배,서울특별시 서초구 방배로 지하 80 (방배동)
사당,서울특별시 동작구 남부순환로 지하 2089 (사당동)
낙성대,서울특별시 관악구 남부순환로 지하 1928 (봉천동)
서울대입구,서울특별시 관악구 남부순환로 지하 1822 (봉천동)
봉천,서울특별시 관악구 남부순환로 지하 1721 (봉천동)
신림,서울특별시 관악구 남부순환로 지하 1614 (신림동)
신대방,서울특별시 동작구 대림로 2 (신대방동)
구로디지털단지,서울특별시 구로구 도림천로 477 (구로동)
대림,서울 구로구 구로6동 125-66
신도림,서울특별시 구로구 새말로 지하 117-21 (신도림동)
문래,서울특별시 영등포구 당산로 지하 28 (문래동3가)
영등포구청,서울특별시 영등포구 당산로 지하 121 (당산동3가)
당산,서울특별시 영등포구 당산로 229 (당산동 6가)
합정,서울특별시 마포구 양화로 지하 55 (서교동)
홍대입구,서울특별시 마포구 양화로 지하160 (동교동)
신촌,서울특별시 마포구 신촌로 지하 90 (노고산동)
이대,서울특별시 마포구 신촌로 지하 180 (염리동)
아현,서울특별시 마포구 신촌로 지하 270 (아현동)
충정로,서울특별시 서대문구 서소문로 지하 17 (충정로3가)
용답,서울특별시 성동구 용답길 86 (용답동)
신답,서울특별시 성동구 천호대로 232 (용답동)
신설동,서울특별시 동대문구 왕산로 지하 1 (신설동)
도림천,서울특별시 구로구 경인로 67길 160 (신도림동)
양천구청,서울특별시 양천구 목동로3길 지하 33(신정동)
신정네거리,서울특별시 양천구 중앙로 지하 261 (신정동)
용두,서울특별시 동대문구 천호대로 지하 129
암사,서울특별시 강동구 올림픽로 지하776 (암사동)
천호,서울특별시 강동구 천호대로 지하997 (천호동)
강동구청,서울특별시 강동구 올림픽로 지하550 (성내동)
몽촌토성,서울특별시 송파구 올림픽로 지하383
잠실,서울특별시 송파구 올림픽로 지하 265 (잠실동)
석촌,서울특별시 송파구 송파대로 지하439 (석촌동)
송파,서울특별시 송파구 송파대로 지하354 (가락동)
가락시장,서울특별시 송파구 송파대로 지하 257 (가락동)
문정,서울특별시 송파구 송파대로 지하179 (문정동)
장지,서울특별시 송파구 송파대로 지하82 (장지동)
복정,서울특별시 송파구 송파대로 지하6 (장지동)
산성,경기도 성남시 수정구 수정로 지하365(신흥동)
남한산성입구,경기도 성남시 수정구 산성대로 지하 445
단대오거리,경기도 성남시 수정구 산성대로 지하365 (신흥동)
신흥,경기도 성남시 수정구 산성대로 지하280 (신흥동)
수진,경기도 성남시 수정구 산성대로 지하200 (수진동)
모란,경기도 성남시 수정구 산성대로 지하100 (수진동)